Address,Parcel Number
"1532 Ruth Av, Cincinnati, OH 45207",054-0006-0039-00
"1522 Ruth Av, Cincinnati, OH 45207",054-0006-0042-00
"1515 Ruth Av, Cincinnati, OH 45207",054-0006-0050-00
"1517 Ruth Av, Cincinnati, OH 45207",054-0006-0051-00
"1525 Ruth Av, Cincinnati, OH 45207",054-0006-0054-00
"1529 Ruth Av, Cincinnati, OH 45207",054-0006-0055-00
"1533 Ruth Av, Cincinnati, OH 45207",054-0006-0056-00
"1545 Ruth Av, Cincinnati, OH 45207",054-0006-0059-00
"1551 Ruth Av, Cincinnati, OH 45207",054-0006-0061-00
"1553 Ruth Av, Cincinnati, OH 45207",054-0006-0062-00
"3315 Woodburn Av, Cincinnati, OH 45207",054-0006-0068-00
"1542 ST LEGER PL, CINCINNATI, OH 45207",054-0006-0072-00
"1537 St Leger Pl, Cincinnati, OH 45207",054-0006-0085-00
"1548 St Leger Pl, Cincinnati, OH 45207",054-0006-0095-00
"1530 Ruth Av, Cincinnati, OH 45207",054-0006-0100-00
"1520 Ruth Av, Cincinnati, OH 45207",054-0006-0102-00
"1509 Ruth Av, Cincinnati, OH 45207",054-0006-0104-00
"1572 St Leger Pl, Cincinnati, OH 45207",054-0006-0105-00
"3309 Woodburn Av, Cincinnati, OH 45207",054-0006-0106-00
"1511 St Leger Pl, Cincinnati, OH 45207",054-0006-0117-00
"1552 Dixmont Av, Cincinnati, OH 45207",055-0001-0014-00
"1556 Dixmont Av, Cincinnati, OH 45207",055-0001-0015-00
"1572 Dixmont Av, Cincinnati, OH 45207",055-0001-0018-00
"1574 Dixmont Av, Cincinnati, OH 45207",055-0001-0019-00
"1580 Dixmont Av, Cincinnati, OH 45207",055-0001-0021-00
"3253 GILBERT AVE, CINCINNATI, OH 45207",055-0001-0022-00
"3195 Gilbert Av, Cincinnati, OH 45207",055-0001-0026-00
"1533 DIXMONT AVE, CINCINNATI, OH 45207",055-0001-0033-00
"1545 Dixmont Av, Cincinnati, OH 45207",055-0001-0039-00
"3217 Gilbert Av, Cincinnati, OH 45207",055-0001-0044-00
"1573 Dixmont Av, Cincinnati, OH 45207",055-0001-0046-00
"3224 Gilbert Av, Cincinnati, OH 45207",055-0001-0060-00
"3248 Gilbert Av, Cincinnati, OH 45207",055-0001-0102-00
"1521 23 Gilpin Ave, Cincinnati, OH 45206",055-0002-0016-00
"1617 Fairfax Ave, Cincinnati, OH 45207",055-0004-0032-00
"3107 Hackberry St, Cincinnati, OH 45206",055-0004-0039-00
"3125 Hackberry St, Cincinnati, OH 45207",055-0004-0044-00
"3118 Hackberry St, Cincinnati, OH 45207",055-0004-0091-00
"1727 Fairfax Av, Cincinnati, OH 45207",055-0004-0102-00
"1729 Fairfax Av, Cincinnati, OH 45207",055-0004-0103-00
"1609 Dexter Av, Cincinnati, OH 45206",055-0004-0171-00
"2944 Hackberry St, Cincinnati, OH 45206",055-0006-0051-00
"2948 Hackberry St, Cincinnati, OH 45206",055-0006-0053-00
"2952 Hackberry St, Cincinnati, OH 45206",055-0006-0054-00
"3630 Wabash Av, Cincinnati, OH 45207",057-0003-0049-00
"3613 Evanston Av, Cincinnati, OH 45207",057-0003-0068-00
"3453 Hudson Av, Cincinnati, OH 45207",057-0005-0031-00
"3449 Woodburn Av, Cincinnati, OH 45207",058-0002-0028-00
"3439 Woodburn Av, Cincinnati, OH 45207",058-0002-0031-00
"3409 WOODBURN AVE, CINCINNATI, OH 45207",058-0002-0038-00
"1530 Blair Av, Cincinnati, OH 45207",058-0002-0058-00
"3477 Woodburn Av, Cincinnati, OH 45207",058-0002-0126-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0173-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0174-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0175-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0176-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0177-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0178-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0179-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0180-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0181-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0182-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0189-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0190-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0191-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0192-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0193-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0194-00
"Jonathan Ave, Cincinnati, OH 45207",058-0002-0195-00
"1912 Clarion Ave., Cincinnati, OH 45207",058-0003-0010-00
"3628 Trimble Av, Cincinnati, OH 45207",058-0003-0019-00
"1909 Clarion Av, Cincinnati, OH 45207",058-0003-0042-00
"1828 CLARION AVE, CINCINNATI, OH 45207",058-0004-0017-00
"3604 Montgomery Rd, Cincinnati, OH 45207",058-0004-0024-00
"1829 Clarion Av, Cincinnati, OH 45207",058-0004-0032-00
"3476 Woodburn Av, Cincinnati, OH 45207",058-0005-0002-00
"3467 Greenlawn Av, Cincinnati, OH 45207",058-0005-0013-00
"3453 Montgomery Rd, Cincinnati, OH 45207",058-0005-0094-00
"3451-3453 Montgomery Rd, Cincinnati, OH 45207",058-0005-0095-00
"1628 Blair Av, Cincinnati, OH 45207",058-0005-0128-00
"3416 Woodburn Av, Cincinnati, OH 45207",058-0005-0132-00
"1654 Jonathan Av, Cincinnati, OH 45207",058-0006-0014-00
"1650 Jonathan Av, Cincinnati, OH 45207",058-0006-0016-00
"1646 Jonathan Av, Cincinnati, OH 45207",058-0006-0018-00
"1644 Jonathan Av, Cincinnati, OH 45207",058-0006-0019-00
"1640 Jonathan Av, Cincinnati, OH 45207",058-0006-0021-00
"Jonathan Ave, Cincinnati, OH 45207",059-0003-0061-00
"1710 Brewster Av, Cincinnati, OH 45207",059-0006-0076-00
"1712 Brewster Av, Cincinnati, OH 45207",059-0006-0077-00
"3646 Clarion Av, Cincinnati, OH 45207",059-0006-0096-00
"3644 Clarion Av, Cincinnati, OH 45207",059-0006-0150-00
"3634 Brooks Av, Cincinnati, OH 45207",059-0006-0162-00
"3256 Beresford Av, Cincinnati, OH 45206",060-0002-0068-00
"3259 Gaff Av, Cincinnati, OH 45206",060-0002-0084-00
"3320 Drexel Pl, Cincinnati, OH 45229",060-0003-0105-00
"836 Ridgeway Av, Cincinnati, OH 45229",060-0003-0106-00
"840 Ridgeway Av, Cincinnati, OH 45229",060-0003-0107-00
"3158 Syracuse St, Cincinnati, OH 45206",060-0004-0085-00
"19 Lincoln Ter, Cincinnati, OH 45206",060-0005-0059-00
"3244 Rammelsburg St, Cincinnati, OH 45206",060-0005-0064-00
"1369 Myrtle Av, Cincinnati, OH 45206",061-0001-0009-00
"1617 William H Taft Rd, Cincinnati, OH 45206",062-0002-0102-00
"2710 Woodburn Av, Cincinnati, OH 45206",062-0003-0149-00
"2316 Victory Pkwy, Cincinnati, OH 45206",063-0003-0117-00
"2316 Victory Pw, Cincinnati, OH 45206",063-0003-0132-00
"2320 Victory Pkwy, Cincinnati, OH 45206",063-0003-0142-00
"3001 Walter Av, Cincinnati, OH 45206",065-0001-0071-00
"804 Oak St, Cincinnati, OH 45206",065-0002-0002-00
"2851 Melrose Av, Cincinnati, OH 45206",065-0002-0033-00
"3017 Melrose Av, Cincinnati, OH 45206",065-0002-0084-00
"844 Oak St, Cincinnati, OH 45206",065-0002-0144-00
"3050 Mentor Av, Cincinnati, OH 45206",065-0003-0066-00
"3063 Mentor Av, Cincinnati, OH 45206",065-0003-0103-00
"3059 Mentor Av, Cincinnati, OH 45206",065-0003-0107-00
"1125 Myrtle Av, Cincinnati, OH 45206",066-0002-0019-00
"1214 Chapel St, Cincinnati, OH 45206",066-0002-0232-00
"1207 Chapel St, Cincinnati, OH 45206",066-0002-0254-00
"1018 Lincoln Av, Cincinnati, OH 45206",066-0003-0077-00
"2921 Monfort St, Cincinnati, OH 45206",066-0003-0094-00
"1019 Chapel St, Cincinnati, OH 45206",066-0003-0103-00
"2304 St. James Ave, Cincinnati, OH 45206",067-0001-0023-00
"957 E Mcmillan St, Cincinnati, OH 45206",067-0001-0122-00
"2512 Chatham St, Cincinnati, OH 45206",067-0002-0014-00
"2514 Chatham St, Cincinnati, OH 45206",067-0002-0015-00
"2521 Chatham St, Cincinnati, OH 45206",067-0002-0027-00
"2525 Chatham St, Cincinnati, OH 45206",067-0002-0029-00
"821 William H Taft Rd, Cincinnati, OH 45206",067-0002-0050-00
"2635 Melrose Av, Cincinnati, OH 45206",067-0002-0103-00
"801 Oak St, Cincinnati, OH 45206",067-0002-0118-00
"2509 Park Av, Cincinnati, OH 45206",067-0003-0051-00
"911 Yale Av, Cincinnati, OH 45206",067-0003-0086-00
"2605 Park Ave, Cincinnati, OH 45206",067-0003-0119-00
"2313 Boone St, Cincinnati, OH 45206",068-0002-0034-00
"2312 Boone St, Cincinnati, OH 45206",068-0002-0043-00
"2352 Boone St, Cincinnati, OH 45206",068-0002-0187-00
"2347 May St, Cincinnati, OH 45206",068-0002-0194-00
"2406 Boone St, Cincinnati, OH 45206",068-0002-0257-00
"2405 May St, Cincinnati, OH 45206",068-0002-0265-00
"2409 May St, Cincinnati, OH 45206",068-0002-0267-00
"2415 May St, Cincinnati, OH 45206",068-0002-0268-00
"2415 Kenton St, Cincinnati, OH 45206",068-0002-0288-00
"646 Wayne St, Cincinnati, OH 45206",068-0002-0311-00
"706 Wayne St, Cincinnati, OH 45206",068-0002-0321-00
"708 Wayne St, Cincinnati, OH 45206",068-0002-0322-00
"651 E Mcmillan St, Cincinnati, OH 45206",068-0002-0349-00
"2352 Boone St, Cincinnati, OH 45206",068-0002-0382-00
"2320 Kenton St, Cincinnati, OH 45206",068-0003-0020-00
"2322-2330 Kenton St, Cincinnati, OH 45206",068-0003-0021-00
"2326 Kenton St, Cincinnati, OH 45206",068-0003-0023-00
"2333 Concord St, Cincinnati, OH 45206",068-0003-0028-00
"2402 Kenton St, Cincinnati, OH 45206",068-0003-0056-00
"2356 Concord St, Cincinnati, OH 45206",068-0003-0103-00
"747 Morgan St, Cincinnati, OH 45206",068-0003-0115-00
"751 Morgan St, Cincinnati, OH 45206",068-0003-0117-00
"2414 Copelen St, Cincinnati, OH 45206",068-0003-0199-00
"2416 Copelen St, Cincinnati, OH 45206",068-0003-0200-00
"2418 Copelen St, Cincinnati, OH 45206",068-0003-0201-00
"2212 May St, Cincinnati, OH 45206",069-0001-0174-00
"2134 Deerfield Pl, Cincinnati, OH 45206",069-0001-0264-00
"937 Windsor St, Cincinnati, OH 45206",069-0002-0044-90
"2213 St. James Ave, Cincinnati, OH 45206",069-0002-0094-00
"734 Oak St, Cincinnati, OH 45206",070-0001-0107-00
"722 E Mcmillan St, Cincinnati, OH 45206",070-0002-0006-00
"2720 May St, Cincinnati, OH 45206",070-0002-0028-00
"2537 Hemlock St, Cincinnati, OH 45206",070-0002-0042-00
"2509 Stanton Av, Cincinnati, OH 45206",070-0002-0071-00
"2513 Stanton Av, Cincinnati, OH 45206",070-0002-0073-00
"2517 Stanton Av, Cincinnati, OH 45206",070-0002-0075-00
"2519 Stanton Av, Cincinnati, OH 45206",070-0002-0076-00
"2538 Hemlock St, Cincinnati, OH 45206",070-0002-0104-00
"2626 Hemlock St, Cincinnati, OH 45206",070-0002-0120-00
"1310 Sycamore St, Cincinnati, OH 45202",075-0001-0044-90
"Sycamore St, Cincinnati, OH 45202",075-0001-0270-00
"423 E THIRTEENTH ST, CINCINNATI, OH 45202",075-0003-0058-00
"112 W Court St, Cincinnati, OH 45202",076-0001-0263-00
"28 W 4Th St, Cincinnati, OH 45202",083-0001-0019-00
"416 Vine St, Cincinnati, OH 45202",083-0001-0A64-00
"325 E 4Th St, Cincinnati, OH 45202",084-0002-0001-00
"301 Broadway, Cincinnati, OH 45202",084-0002-0012-00
"1935 Young St, Cincinnati, OH 45219",087-0004-0209-00
"278 Bodmann Av, Cincinnati, OH 45219",087-0005-0127-00
"2021 Burnet Av, Cincinnati, OH 45219",087-0006-0084-00
"157 Kinsey Av, Cincinnati, OH 45219",089-0001-0143-00
"2309 Highland Av, Cincinnati, OH 45219",089-0002-0012-00
"2207 Highland Av, Cincinnati, OH 45219",089-0002-0056-00
"2215 Maplewood Av, Cincinnati, OH 45219",089-0002-0083-00
"2201 Highland Av, Cincinnati, OH 45219",089-0002-0095-00
"2321 Reading Rd, Cincinnati, OH 45202",090-0001-0046-00
"634 Lincoln Av, Cincinnati, OH 45206",091-0002-0109-00
"670 June & 2715 May , Cincinnati, OH 45206",091-0004-0111-00
"2715 May St, Cincinnati, OH 45206",091-0004-0119-00
"2274 LOTH ST, CINCINNATI, OH 45219",093-0002-0082-00
"18 Mulberry St, Cincinnati, OH 45202",094-0004-0079-00
"32 Mulberry St, Cincinnati, OH 45202",094-0004-0110-00
"2040 VINE ST, CINCINNATI, OH 45202",094-0004-0151-00
"146 Mulberry St, Cincinnati, OH 45202",094-0005-0060-00
"148 Mulberry St, Cincinnati, OH 45202",094-0005-0061-00
"1912 Vine St, Cincinnati, OH 45202",094-0005-0165-00
"141 E Mcmicken Av, Cincinnati, OH 45202",094-0007-0210-00
"139 E Mcmicken Av, Cincinnati, OH 45202",094-0007-0211-00
"137 E Mcmicken Av, Cincinnati, OH 45202",094-0007-0212-00
"1706 Lang St., Cincinnati, OH 45202",094-0007-0354-00
"1610 Elm St, Cincinnati, OH 45202",094-0008-0007-00
"125 Green St, Cincinnati, OH 45202",094-0008-0017-00
"226 Mohawk St, Cincinnati, OH 45214",095-0002-0038-00
"222 Mohawk St, Cincinnati, OH 45214",095-0002-0040-00
"239 Renner St, Cincinnati, OH 45214",095-0002-0050-00
"2033 Vine St, Cincinnati, OH 45202",095-0005-0024-00
"2105 Vine St, Cincinnati, OH 45202",095-0005-0026-00
"329 Emming St, Cincinnati, OH 45219",096-0002-0265-00
"300 W Mcmicken Av, Cincinnati, OH 45214",096-0004-0132-00
"270 W McMicken Ave, Cincinnati, OH 45214",096-0004-0190-00
"1702 Central Pkwy, Cincinnati, OH 45202",096-0005-0001-00
"2622 Halstead St, Cincinnati, OH 45214",098-0003-0029-00
"2740 Wagner St, Cincinnati, OH 45225",098-0004-0073-00
"2536 Halstead St, Cincinnati, OH 45214",098-0005-0039-00
"716 W Martin Luther King Jr Dr, Cincinnati, OH 45220",099-0001-0041-00
"710 W Martin Luther King Jr Dr, Cincinnati, OH 45220",099-0001-0042-00
"3166 Reading Rd, Cincinnati, OH 45229",105-0001-0001-00
"3121 Borrman Av, Cincinnati, OH 45229",105-0001-0077-00
"3129 Borrman Av, Cincinnati, OH 45229",105-0001-0081-00
"3151 Van Buren Ave, Cincinnati, OH 45229",105-0001-0106-00
"745 Whittier St, Cincinnati, OH 45229",105-0001-0192-00
"3158 Van Buren Av, Cincinnati, OH 45229",105-0001-0204-00
"3038 Bathgate St, Cincinnati, OH 45206",105-0001-0214-00
"3131 Van Buren Av, Cincinnati, OH 45229",105-0001-0274-00
"727 Ridgeway Av, Cincinnati, OH 45229",105-0002-0027-00
"723 Ridgeway Ave, Cincinnati, OH 45229",105-0002-0028-00
"729 Ridgeway Av, Cincinnati, OH 45229",105-0002-0071-00
"777 Ridgeway Av, Cincinnati, OH 45229",105-0003-0047-00
"538 Hale Av, Cincinnati, OH 45229",106-0003-0017-00
"551 Hale Av, Cincinnati, OH 45229",106-0003-0033-00
"539 Blair Av, Cincinnati, OH 45229",106-0003-0125-00
"554 Carplin Pl, Cincinnati, OH 45229",106-0003-0129-00
"3449 Hallwood Pl, Cincinnati, OH 45229",107-0007-0018-00
"515 Maple Av, Cincinnati, OH 45229",107-0007-0025-00
"3468 Hallwood Pl, Cincinnati, OH 45229",107-0008-0062-00
"3461 Knott St, Cincinnati, OH 45229",107-0008-0119-00
"819 Hutchins Av, Cincinnati, OH 45229",107-0010-0006-00
"855 Hutchins Av, Cincinnati, OH 45229",107-0011-0015-00
"3554 Glenwood Pl, Cincinnati, OH 45229",108-0001-0020-00
"880 Lexington Av, Cincinnati, OH 45229",108-0001-0050-00
"836 Hutchins Av, Cincinnati, OH 45229",108-0001-0094-00
"842 Hutchins Av, Cincinnati, OH 45229",108-0001-0097-00
"848 HUTCHINS AVE, CINCINNATI, OH 45229",108-0001-0099-00
"3573 Glenwood Pl, Cincinnati, OH 45229",108-0001-0115-00
"1029 Burton Av, Cincinnati, OH 45229",108-0003-0027-00
"3638 Reading Rd, Cincinnati, OH 45229",108-0004-0009-00
"987 Burton Av, Cincinnati, OH 45229",108-0005-0047-00
"3711 Beatrice Dr, Cincinnati, OH 45229",108-0007-0005-00
"3916 Reading Rd, Cincinnati, OH 45229",110-0003-0042-00
"722 GREENWOOD AVE, CINCINNATI, OH 45229",111-0005-0044-00
"728 Chalfonte Pl, Cincinnati, OH 45229",112-0004-0055-00
"684 Glenwood Av, Cincinnati, OH 45229",112-0005-0024-00
"673 Glenwood Av, Cincinnati, OH 45229",112-0005-0032-00
"685 Glenwood Av, Cincinnati, OH 45229",112-0005-0035-00
"3586 Bogart Av, Cincinnati, OH 45229",112-0005-0047-00
"656 Glenwood Ave, Cincinnati, OH 45229",112-0006-0005-00
"3573 Bogart Av, Cincinnati, OH 45229",112-0006-0015-00
"3560 Washington Av, Cincinnati, OH 45229",112-0006-0043-00
"3589 Bogart Av, Cincinnati, OH 45229",112-0006-0096-00
"529 Rockdale Av, Cincinnati, OH 45229",113-0001-0063-00
"550 Hickory St, Cincinnati, OH 45229",113-0001-0111-00
"3577 Alaska Av, Cincinnati, OH 45229",113-0002-0006-00
"3584 Alaska Av, Cincinnati, OH 45229",113-0002-0016-00
"3584 Alaska Ave, Cincinnati, OH 45229",113-0002-0049-00
"Harvey Ave, Cincinnati, OH 45229",113-0002-0050-00
"3579 Harvey Av, Cincinnati, OH 45229",113-0002-0083-00
"4431 Reading Ln, Cincinnati, OH 45229",116-0002-0265-00
"1931 Seymour Av, Cincinnati, OH 45237",117-0003-0123-00
"7080 Reading Rd, Cincinnati, OH 45237",117-0003-0161-00
"7090 Reading Rd, Cincinnati, OH 45237",117-0003-0330-00
"1202 Ryland Ave, Cincinnati, OH 45237",117-0004-0085-00
"1752 Seymour Ave, Cincinnati, OH 45237",117-0007-0040-00
"1730 Seymour Av, Cincinnati, OH 45237",117-0007-0058-00
"1726 Seymour Av, Cincinnati, OH 45237",117-0007-0059-00
"1682 Seymour Av, Cincinnati, OH 45237",117-0007-0064-00
"7880 Newbedford Av, Cincinnati, OH 45237",117-0015-0271-00
"6014 Farmdale Av, Cincinnati, OH 45237",117-0018-0056-00
"2081 Seymour Av, Cincinnati, OH 45237",117-0018-0103-00
"7401 Reading Rd, Cincinnati, OH 45237",117-0A07-0034-00
"1642 Shenandoah Ave, Cincinnati, OH 45237",117-0A07-0459-00
"1718 Bella Vista St, Cincinnati, OH 45237",119-0002-0193-00
"4896 Reading Rd, Cincinnati, OH 45237",119-0002-0428-00
"4894 Reading Rd, Cincinnati, OH 45237",119-0002-0485-00
"5605-5607 Abbottsford Av, Cincinnati, OH 45212",120-0002-0029-00
"6818 Withany Av, Cincinnati, OH 45213",124-0005-0036-00
"1303 Regent Ave, Cincinnati, OH 45237",131-0006-0266-00
"1322 Carolina Av, Cincinnati, OH 45237",131-0006-0282-00
"1939 CATALINA AVE, CINCINNATI, OH 45237",131-0007-0250-00
"2106 Central Av, Cincinnati, OH 45214",132-0001-0031-00
"2151 FREEMAN AVE, CINCINNATI, OH 45214",132-0001-0140-00
"834 York St, Cincinnati, OH 45214",132-0002-0076-00
"542 York St, Cincinnati, OH 45214",132-0003-0332-00
"1538 John St, Cincinnati, OH 45214",134-0001-0221-00
"1201 Linn St, Cincinnati, OH 45203",135-0003-0009-00
"841 W 6Th St, Cincinnati, OH 45203",136-0004-0242-00
"801 W 6Th St, Cincinnati, OH 45203",136-0004-0243-00
"675 State Av, Cincinnati, OH 45204",149-0011-0033-00
"700 State Av, Cincinnati, OH 45204",149-0011-0103-00
"719 Neave St, Cincinnati, OH 45204",149-0011-0111-00
"2113 W 8Th St, Cincinnati, OH 45204",149-0011-0136-90
"2112 Hatmaker St, Cincinnati, OH 45204",149-0011-0144-00
"644 Neave St, Cincinnati, OH 45204",149-0011-0287-00
"646 Neave St, Cincinnati, OH 45204",149-0011-0288-00
"2137 Storrs St, Cincinnati, OH 45204",149-0011-0296-00
"2138 St Michael St, Cincinnati, OH 45204",149-0011-0358-00
"702 State Av, Cincinnati, OH 45204",149-0011-0367-00
"658 State Av, Cincinnati, OH 45204",149-0011-0380-00
"815 State Av, Cincinnati, OH 45204",149-0013-0044-00
"2314 WILDER AVE, CINCINNATI, OH 45204",149-0015-0062-00
"728 Burns St, Cincinnati, OH 45204",150-0007-0006-00
"622 Steiner Ave, Cincinnati, OH 45204",152-0042-0165-00
"644 Delhi Av, Cincinnati, OH 45204",153-0002-0068-00
"643 Delhi Av, Cincinnati, OH 45204",153-0002-0114-00
"653 Sedam St, Cincinnati, OH 45204",153-0002-0142-00
"715 Sedam St, Cincinnati, OH 45204",153-0002-0152-00
"Steiner Ave, Cincinnati, OH 45204",153-0002-0205-00
"741 Sedam St, Cincinnati, OH 45204",153-0003-0090-00
"787 Sedam St, Cincinnati, OH 45204",153-0003-0107-00
"268 Sedam St, Cincinnati, OH 45204",153-0003-0114-00
"1003 Delhi Av, Cincinnati, OH 45204",155-0047-0040-00
"993 Delhi Av, Cincinnati, OH 45204",155-0047-0044-00
"3945 Pattison Ave, Cincinnati, OH 45204",159-0067-0108-00
"6086 River Rd, Cincinnati, OH 45233",163-0001-0063-00
"6164 Ottawa St, Cincinnati, OH 45233",163-0004-0077-00
"Shelby St, Cincinnati, OH 45204",168-0002-0022-00
"1703 State Av, Cincinnati, OH 45204",168-0002-0068-00
"1704 Shelby St, Cincinnati, OH 45204",168-0002-0070-00
"2655 Lehman Rd, Cincinnati, OH 45204",168-0003-0001-00
"1614 WESTWOOD AVE, CINCINNATI, OH 45214",170-0007-0052-00
"1637 Westwood Av, Cincinnati, OH 45214",170-0007-0099-00
"1633 Westwood Av, Cincinnati, OH 45214",170-0007-0100-00
"2234 Amor Pl, Cincinnati, OH 45214",170-0008-0057-00
"1753 Queen City Av, Cincinnati, OH 45214",170-0009-0006-00
"1723 Westwood Ave, Cincinnati, OH 45214",170-0009-0057-00
"1709 Esmonde St, Cincinnati, OH 45214",170-0009-0117-00
"1703 Esmonde St, Cincinnati, OH 45214",170-0009-0120-00
"2216 Grand Av, Cincinnati, OH 45214",170-0009-0121-00
"2214, 2216 & 2222 Grand Av, Cincinnati, OH 45214",170-0009-0122-00
"1746 Westwood Av, Cincinnati, OH 45214",170-0009-0183-00
"1744 Westwood Av, Cincinnati, OH 45214",170-0009-0185-00
"1758 Esmonde St, Cincinnati, OH 45214",170-0009-0191-00
"2197 Clara St, Cincinnati, OH 45214",171-0010-0048-00
"2828 Sterrett Av, Cincinnati, OH 45204",172-0018-0053-00
"2814 Glenway Av, Cincinnati, OH 45204",172-0018-0062-00
"3528 Glenway Ave., Cincinnati, OH 45205",173-0003-0016-00
"1217 DROTT AVE, CINCINNATI, OH 45205",173-0003-0024-00
"1221 Blanchard Av, Cincinnati, OH 45205",173-0003-0111-00
"3051 Glenway Av, Cincinnati, OH 45204",173-0004-0006-00
"1023 Considine Av, Cincinnati, OH 45205",173-0004-0055-00
"1012 Purcell Av, Cincinnati, OH 45205",173-0004-0070-00
"1024 PURCELL AVE, CINCINNATI, OH 45205",173-0004-0073-00
"1049 Purcell Av, Cincinnati, OH 45205",173-0004-0119-00
